Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-03-18,9252.29,31.083491153189627,137.5902383837031,68.70595745583495,45.389999,19.26,5.061,7.912,8.464
2010-03-19,9270.79,28.430322403044855,132.2052213562958,69.34199138429753,45.25,18.94,5.047,7.831,8.458
2010-03-22,9186.95,18.771881744660163,137.33984840227467,63.08443125950446,45.470001,20.21,5.098,7.855,8.469
2010-03-23,9222.9,12.830916821049954,134.0655735163979,64.56122463560342,45.400002,18.42,5.094,7.863,8.458
2010-03-25,9318.25,13.29295384270307,137.09660397951234,68.19540537612286,45.487999,17.84,5.085,7.875,8.453
2010-03-26,9456.2,20.432382840668794,138.37184655240438,72.57696760542092,45.110001,18.23,5.015,7.856,8.448
2010-03-29,9517.6,26.450999402605618,137.51671465580404,74.27565988272067,44.799999,19.48,4.953,7.762,8.448
2010-03-30,9470.29,24.453701206173662,136.72266360896086,70.64448823067927,44.939999,19.89,5.18,7.769,8.459
2010-03-31,9459.6,19.818152522582352,133.89247335117798,69.81396458382069,44.799999,19.82,5.159,7.85,8.459
2010-04-05,9698.6,25.77611632936373,134.9801428385156,76.78795871280659,44.360001,17.5,5.154,7.811,8.459
2010-04-06,9728.2,29.949239089428886,132.36013263576444,77.49166652589518,44.34,17.3,5.034,7.795,8.459
2010-04-07,9681.04,26.353651703508916,133.859408876067,73.66008539980851,44.400002,17.5,4.97,7.796,8.459
2010-04-08,9520.0,10.749653076625577,137.78016538491934,62.32709416660385,44.34,19.57,4.965,7.863,8.459
2010-04-09,9656.5,7.400809376413122,139.81372500028223,66.9663888551613,44.119999,18.6,4.95,8.013,8.459
2010-04-12,9575.45,-1.9915894222330337,138.38417321454773,62.078001437260454,44.34,19.97,5.063,8.029,8.459
2010-04-13,9483.0,-15.4025885406015,137.20744655636574,56.96954096748337,44.577999,20.1,5.177,8.057,8.459
2010-04-15,9344.6,-33.52665778925055,144.86834323091097,50.29676937757326,44.290001,21.43,5.168,8.079,8.459
2010-04-16,9353.75,-44.16198409845367,144.80631871441733,50.707834964129,44.318001,21.63,5.215,8.088,8.459
2010-04-19,9302.9,-53.274395769350406,145.25158166338758,48.31631058169929,44.728001,22.72,5.21,8.077,8.581
2010-04-20,9446.1,-48.44934558330229,149.08718297314567,54.783732555154565,44.389999,20.82,5.145,7.984,8.57
2010-04-21,9555.29,-37.20151431015742,147.6123841893496,58.99698967874663,44.400002,19.78,5.092,8.008,8.575
2010-04-22,9623.25,-25.064050686060625,154.1364996043961,61.40735560897457,44.439999,20.53,4.953,7.992,8.564
2010-04-23,9813.29,-5.157262198503815,157.53389248979644,67.21180560000283,44.290001,20.35,4.912,8.058,8.564
2010-04-26,9839.15,8.109812247880782,153.93575731195384,67.91889453835529,44.25,19.82,4.894,8.07,8.567
2010-04-27,9756.45,9.573231114012827,149.6867746468142,63.223251831286994,44.450001,19.82,4.926,8.108,8.567
2010-04-28,9634.9,1.0604969326116134,149.9198621720418,56.987120078051646,44.5,22.73,4.92,8.108,8.565
2010-04-29,9803.79,5.273940075809691,152.57844344546746,62.5191169149387,44.450001,21.09,4.89,8.092,8.565
2010-04-30,9870.35,10.70054705238914,150.20569748507685,64.45913363376206,44.25,20.29,4.86,8.061,8.548
2010-05-03,9775.5,6.277872084046294,148.68029052185713,59.71569937139355,44.400002,22.11,4.892,8.045,8.548
2010-05-04,9623.7,-7.73502255988771,154.50669834172444,52.99434119293406,44.549999,23.7,4.823,7.968,8.548
2010-05-05,9581.85,-19.989920192807205,155.53836274588704,51.28065822032123,44.849998,24.85,4.881,7.973,8.537
2010-05-06,9582.0,-27.77461442110055,157.1213368354666,51.286738571613306,45.459999,24.23,4.875,7.978,8.537
2010-05-07,9276.1,-51.81747726946563,170.3419556329332,40.25348406279333,45.417999,27.31,4.858,7.966,8.521
2010-05-10,9656.25,-40.89006786196117,187.33895880200936,53.60975980302134,44.763,25.62,4.852,8.023,8.526
2010-05-11,9626.1,-34.70799287758422,183.97546174472296,52.60533010093792,44.990002,25.59,4.781,7.975,8.504
2010-05-12,9722.2,-23.68818956984211,181.8165001915285,55.46922263049726,44.950001,25.69,4.84,7.93,8.499
