Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-04-26,5322.45,-11.154822687601438,65.35371828466755,59.149795235850675,44.25,19.82,4.894,8.07,8.567
2010-04-27,5308.35,-9.134540183848962,62.76773840719134,57.14361536648215,44.450001,19.82,4.926,8.108,8.567
2010-04-28,5215.45,-13.68175282255838,65.84861423524914,46.059169015493474,44.5,22.73,4.92,8.108,8.565
2010-04-29,5254.15,-13.677383741984556,64.71299893273134,50.37739883439166,44.450001,21.09,4.89,8.092,8.565
2010-04-30,5278.0,-11.73691923647089,62.994213294679135,52.88089676912365,44.25,20.29,4.86,8.061,8.548
2010-05-03,5222.75,-13.705896377755238,63.398198059344885,46.969232551784955,44.400002,22.11,4.892,8.045,8.548
2010-05-04,5148.5,-19.20331587172757,67.10546962653449,40.42822721350586,44.549999,23.7,4.823,7.968,8.548
2010-05-05,5124.89,-23.348616124118326,68.8836503674963,38.58801588258993,44.849998,24.85,4.881,7.973,8.537
2010-05-06,5090.85,-27.041532756306918,70.18767534124659,36.04085522429378,45.459999,24.23,4.875,7.978,8.537
2010-05-07,5018.05,-32.669254833845514,72.76355567401468,31.28463939115889,45.417999,27.31,4.858,7.966,8.521
2010-05-10,5193.6,-23.29108434125041,80.79830169729935,48.8231934741668,44.763,25.62,4.852,8.023,8.526
2010-05-11,5136.14,-19.81619904569768,80.75556586177797,44.79322405897988,44.990002,25.59,4.781,7.975,8.504
2010-05-12,5156.64,-15.203147577923865,80.27659687165098,46.490223226954015,44.950001,25.69,4.84,7.93,8.499
2010-05-13,5178.89,-9.972207423700326,79.16755423796162,48.34611675945393,44.939999,24.54,4.886,7.499,8.493
2010-05-14,5093.5,-11.474805793352175,82.2127289352501,42.284813415183926,45.25,26.18,4.895,7.502,8.483
2010-05-17,5059.89,-13.788454933988486,85.50467686844652,40.151044180021806,45.528,26.93,4.876,7.466,8.477
2010-05-18,5066.2,-13.910141856625486,85.17934280641462,40.755489027320635,45.560001,26.43,4.87,7.5,8.483
2010-05-19,4919.64,-22.375672537605247,90.38510403452783,32.536147738514615,46.272999,29.99,4.864,7.438,8.472
2010-05-20,4947.6,-24.438728358970607,88.25831088920438,35.22023521741663,46.740002,30.04,4.885,7.416,8.472
2010-05-21,4931.14,-25.159768001089297,89.47557439711838,34.35371911528061,46.917999,31.27,4.921,7.382,8.467
2010-05-24,4943.95,-23.07657259121276,90.6630333687528,35.67999668781607,46.810001,30.84,4.847,7.395,8.461
2010-05-25,4806.75,-28.86563309595175,95.62638812812766,28.936817135907106,47.48,34.36,4.813,7.383,8.458
2010-05-26,4917.39,-23.403038562091155,97.27450326183282,38.95586797938792,47.099998,32.29,4.883,7.524,8.483
2010-05-28,5066.55,-0.6962247355428417,97.063729853315,49.60830726124764,46.299999,26.22,4.871,7.539,8.483
2010-05-31,5086.3,8.732995414973544,94.34846343522108,50.88280620214377,46.358002,26.43,5.031,7.564,8.467
2010-06-01,4970.2,7.357110425846557,96.60214461841954,43.860163386632685,47.083,28.6,4.97,7.564,8.456
2010-06-02,5019.85,9.841930464464774,94.28413428853241,47.21529339671195,46.799999,28.06,4.95,7.503,8.451
2010-06-03,5110.5,17.21039971396958,95.1102675536372,52.76574726275232,46.5,25.4,4.958,7.56,8.473
2010-06-04,5135.5,23.024722731089646,92.33739129980597,54.196216818081716,46.860001,25.02,5.245,7.537,8.475
2010-06-07,5034.0,19.43472810483614,95.11686334981982,47.85903426473866,46.790001,28.27,5.282,7.49,8.451
2010-06-08,4987.1,13.578631589969419,95.75494453911843,45.22742966341138,46.830002,28.79,5.244,7.463,8.468
2010-06-09,5000.3,10.413665716432945,93.9510199291814,46.125327898723,46.810001,28.09,5.234,7.485,8.473
2010-06-10,5078.6,13.232156197860107,93.49737564852555,51.23235640417402,46.75,26.73,5.223,7.53,8.484
